Date,Open,High,Low,Close,Adj Close,Volume
2022-04-19,436.75,440.25,417.0,424.95001220703125,423.62969970703125,12669041
2022-04-20,431.0,441.70001220703125,428.25,440.54998779296875,439.1811828613281,19639290
2022-04-21,444.5,449.3500061035156,441.04998779296875,448.04998779296875,446.65789794921875,14124872
2022-04-22,442.04998779296875,447.25,438.0,438.8500061035156,437.4864807128906,14362036
2022-04-25,432.75,436.0,423.1499938964844,425.1499938964844,423.82904052734375,14729009
2022-04-26,433.8999938964844,437.45001220703125,431.6000061035156,434.8999938964844,433.54876708984375,13577513
2022-04-27,429.25,432.95001220703125,425.1000061035156,430.25,428.9132080078125,13701069
2022-04-28,434.79998779296875,439.20001220703125,430.79998779296875,436.04998779296875,434.6951904296875,13875650
2022-04-29,440.20001220703125,447.75,436.0,437.6000061035156,436.2403869628906,21991752
2022-05-02,437.95001220703125,442.95001220703125,428.5,432.8500061035156,431.505126953125,18945234
2022-05-04,437.95001220703125,440.6000061035156,420.70001220703125,423.5,422.1841735839844,14934742
2022-05-05,429.0,434.0,423.70001220703125,426.29998779296875,424.9754638671875,12240729
2022-05-06,418.8500061035156,420.20001220703125,407.0,408.54998779296875,407.2806091308594,25142225
2022-05-09,407.1499938964844,407.3999938964844,395.0,403.95001220703125,402.6949462890625,18076956
2022-05-10,400.0,408.5,389.6000061035156,391.75,390.5328369140625,16540303
2022-05-11,396.0,397.0,377.54998779296875,388.1499938964844,386.9440002441406,29215175
